no;farm_output;agri_land;tot_lab;tot_asset;LFA;hired_lab;rented_land;debt_asset;costs;subs;region;milkprice;price_ind;T
1;43958.54353;9;3560;181420.7066;1;0;0.055555556;0.013485493;26208.02315;47.72432941;B;348.3645495;77.988811;1
2;52324.54574;27;2160;193926.1881;1;0;0;0.042021628;36395.01062;0;A;379.7165781;77.988811;1
3;17341.65433;17.68;2500;73600.95544;1;0;0.47341629;0;8907.770342;0;C;303.9908587;77.988811;1
4;27213.65048;9.5;3300;106802.9416;1;0.045454545;0.421052632;0;13698.99849;0;C;339.0066584;77.988811;1
5;31741.35244;7.23;3103;136658.9985;0;0;0;0;20486.55451;0;A;367.510001;77.988811;1
6;25592.54291;6.75;5815;106816.8272;1;0;0;0;10279.47244;0;A;321.8801359;77.988811;1
7;31952.10871;12.68;4211;115252.5175;0;0;0;0;17186.92523;0;A;352.5558795;77.988811;1
8;18031.719;11;3278;76500.56764;1;0;0;0;13886.03198;0;A;301.1997294;77.988811;1
9;17702.21717;4.44;2210;94101.03152;1;0;0.112612613;0;4480.695142;0;C;321.8751262;77.988811;1
10;28759.43273;6.4;4220;136408.053;1;0;0.515625;0;13778.63734;0;C;334.189154;77.988811;1
11;17755.69018;11;2983;82725.62086;1;0;0;0;8593.926926;0;A;325.7294554;77.988811;1
12;24648.80275;15;2610;95452.48737;1;0;0;0;19534.86091;0;A;347.2979573;77.988811;1
13;101975.193;9.5;2420;365004.9209;0;0;0.315789474;0.475832402;73514.2687;27.57963879;C;353.3876194;77.988811;1
14;73650.83753;23;4800;304293.3469;1;0;0.260869565;0.161697639;35288.33859;242.0671777;D;358.2719194;77.988811;1
15;31434.05563;10.5;2560;108200.1456;0;0;0.666666667;0;18271.82603;0;C;327.3518595;77.988811;1
16;37427.20243;13;2610;140911.1757;1;0;0;0;25817.99744;0;A;370.4087333;77.988811;1
17;33077.10355;10;5590;196812.9403;0;0;0.5;0.078070604;22450.02768;0;C;314.9897196;77.988811;1
18;71380.73127;10.3;3820;224203.1871;1;0;0;0;19777.93047;0;A;365.6233863;77.988811;1
19;17043.97534;7.25;2287;84526.21918;1;0;0;0;11525.43078;0;A;315.9010032;77.988811;1
20;30793.1893;7;2540;143271.4256;1;0;0;0;23238.83226;0;A;392.2699274;77.988811;1
21;20103.80972;15.8;2280;121638.2754;1;0;0;0;17936.46928;0;A;335.1980222;77.988811;1
22;58728.16642;9.16;4780;296475.8328;1;0;0;0.041365696;40236.45407;0;C;349.6030557;77.988811;1
23;38014.83873;17.33;3530;126620.122;1;0;0;0;17068.97171;0;B;329.3652556;77.988811;1
24;27558.50654;4.05;5385;147043.4034;0;0;0;0;14663.36621;0;A;336.7497659;77.988811;1
25;47261.89354;15.6;3025;160330.2777;1;0;0.384615385;0;15330.13301;0;A;335.6177158;77.988811;1
26;152685.9211;26.6;6100;354733.9859;1;0.409836066;0.54887218;0;83280.03541;428.9195758;D;365.7042523;77.988811;1
27;72794.24917;11.5;4310;288804.6777;1;0;0;0;40810.54677;0;C;353.8813528;77.988811;1
28;27201.55047;10.7;2485;133198.9497;1;0;0;0;20538.52355;0;A;352.394258;77.988811;1
29;22673.43405;8.5;2440;91282.90169;1;0;0;0;17970.08061;0;A;355.3232125;77.988811;1
30;18030.15911;8.5;3047;117094.1132;0;0;0.023529412;0;11735.24156;0;A;333.8582916;77.988811;1
31;35771.42188;7.5;4315;151086.3758;1;0.019698725;0;0.180005811;18665.20511;0;B;355.1801839;77.988811;1
32;49641.42299;15;5330;123509.1912;0;0.1369606;0.733333333;0;26629.67389;0;B;345.3025557;77.988811;1
33;47603.96828;13.85;4150;269392.0737;0;0;0.072202166;0.029894039;21297.63766;0;C;335.8134234;77.988811;1
34;108820.2747;22.5;4800;155177.3671;1;0;0.2;0;48990.76786;216.1660138;D;351.4101409;77.988811;1
35;41969.92302;21;3860;174952.5976;1;0;1;0;19433.98389;0;C;343.6313831;77.988811;1
36;20216.52448;6.5;2310;96479.32134;1;0;0.307692308;0;14862.78147;0;B;370.0087864;77.988811;1
37;16464.9577;6.26;2687;60854.1866;1;0;0;0;7983.204842;0;A;315.6409603;77.988811;1
38;49084.08944;16.11;7110;155792.6764;0;0;0.444444444;0;30166.11311;0;C;332.2224112;77.988811;1
39;64543.96677;9;3311;175290.8749;1;0.175475687;0;0.212746363;39103.6255;0;A;390.4636584;77.988811;1
40;64627.3333;19.3;4590;206828.346;1;0;0.440414508;0;29138.07387;0;B;377.7167347;77.988811;1
41;29917.13042;7.06;3980;110462.328;0;0;0;0;15449.72884;0;A;351.6456341;77.988811;1
42;14304.19176;1.65;2178;77551.16507;1;0;0;0;6862.921432;0;A;305.5582682;77.988811;1
43;44028.43182;7.7;4460;172313.139;1;0;0.077922078;0;18186.47782;0;B;354.1988693;77.988811;1
44;99544.78425;10.8;4600;227016.6602;0;0;0.865740741;0;56235.90755;0;C;358.9786666;77.988811;1
45;19248.87513;4.98;3820;122631.5097;0;0;0.401606426;0;12438.18202;0;B;343.0742885;77.988811;1
46;22976.07376;12.5;2429;171510.1386;1;0.01193907;0.32;0.056750988;15172.24828;301.1477727;D;359.950117;77.988811;1
47;70750.07425;20;3600;148281.284;1;0;0.05;0;41150.59825;260.6888043;D;348.9689167;77.988811;1
48;35592.11141;9.6;3958;167303.2493;0;0;0;0;23162.01374;0;A;342.9608173;77.988811;1
49;22441.96978;4.65;3041;81987.26645;0;0;0;0;9388.544059;39.48803385;A;339.3270251;77.988811;1
50;72317.9276;16;2578;224372.2211;1;0.003103181;0;0.007426497;48236.64079;0;A;365.4334393;77.988811;1
51;159851.7076;50;6000;546484.8313;1;0;0.38;0;78290.43231;386.3285993;D;367.2812969;77.988811;1
52;31309.91412;6.95;3215;133392.0925;0;0;0;0;15602.9876;0;A;339.590155;77.988811;1
53;52611.40703;10.91;2300;229926.161;0;0;0;0;25663.1222;0;B;361.8171457;77.988811;1
54;29926.55712;18.12;4250;105558.992;1;0;0.103200883;0;14262.65266;0;C;330.8993143;77.988811;1
55;71464.3811;33;3600;182789.1243;1;0;0.242424242;0;27748.4096;222.4684367;D;433.6038303;77.988811;1
56;17811.43206;3.25;2300;102144.095;1;0;0.538461538;0;4677.522252;0;B;308.5849309;77.988811;1
57;26365.74027;25;3700;99992.99764;1;0;0.4;0;13252.91093;0;C;332.3422523;77.988811;1
58;32151.54322;13.88;3760;174107.3544;0;0;0.870317003;0;21392.74513;0;C;325.2152202;77.988811;1
59;32516.10819;1.82;2404;85246.99416;1;0.039101498;0;0;10379.62717;0;C;349.9722978;77.988811;1
60;45100.10368;14.7;3460;186149.8496;1;0;0;0;29080.12886;0;A;322.767619;77.988811;1
61;100376.3437;12;3435;190852.446;1;0.327510917;0.833333333;0;50086.39092;0;B;334.4794974;77.988811;1
62;45158.63821;8.93;4325;223193.8594;1;0;0;0;26243.72389;0;A;337.7952976;77.988811;1
63;23166.06613;9.9;2250;83572.73717;1;0;0.202020202;0;12202.55871;0;C;308.4278798;77.988811;1
64;17558.74672;7.16;4128;88275.92992;0;0;0.209497207;0;5369.895218;0;C;352.8891101;77.988811;1
65;45738.5738;14;4800;109606.8195;1;0;0.428571429;0;24803.14823;522.6245635;D;351.3846527;77.988811;1
66;144564.4702;32.5;7200;373280.8898;1;0;0;0.116796832;96063.85788;326.6416396;D;364.7373088;77.988811;1
67;16545.70787;0.8;3890;60315.08597;1;0;0;0;6052.276782;0;A;306.4376208;77.988811;1
